,Reporter,Partner,Trade Value (US$),expor,TradeValue,Weight,Type
77,Uganda,Ghana,6180.0,,6180.0,6180.0,Directed
78,Uganda,Saudi Arabia,18716838.0,,18716838.0,18716838.0,Directed
79,Uganda,Malawi,70837.0,,70837.0,70837.0,Directed
80,Uganda,Malaysia,11521749.0,654926.0,6088337.5,6088337.5,Directed
81,Uganda,Jordan,11769.0,,11769.0,11769.0,Directed
82,Uganda,Iceland,337.0,,337.0,337.0,Directed
83,Uganda,Latvia,34651.0,8877.0,21764.0,21764.0,Directed
84,Uganda,Luxembourg,3356.0,25562.0,14459.0,14459.0,Directed
85,Uganda,South Sudan,157001.0,,157001.0,157001.0,Directed
86,Uganda,Sweden,597587.0,458738.0,528162.5,528162.5,Directed
87,Uganda,Philippines,109625.0,80431.0,95028.0,95028.0,Directed
88,Uganda,Jamaica,229.0,,229.0,229.0,Directed
89,Uganda,"China, Hong Kong SAR",502813.0,1724136.0,1113474.5,1113474.5,Directed
90,Uganda,Brazil,775480.0,204478.0,489979.0,489979.0,Directed
91,Uganda,Bulgaria,11330.0,21470.0,16400.0,16400.0,Directed
92,Uganda,Sri Lanka,425068.0,,425068.0,425068.0,Directed
93,Uganda,Cameroon,237.0,,237.0,237.0,Directed
94,Uganda,Czech Rep.,314558.0,410969.0,362763.5,362763.5,Directed
95,Uganda,Benin,558.0,,558.0,558.0,Directed
96,Uganda,Côte d'Ivoire,107912.0,,107912.0,107912.0,Directed
97,Uganda,Israel,342031.0,239000.0,290515.5,290515.5,Directed
98,Uganda,Sierra Leone,3567.0,,3567.0,3567.0,Directed
99,Uganda,Mexico,96705.0,,96705.0,96705.0,Directed
100,Uganda,Pakistan,3380426.0,63125.0,1721775.5,1721775.5,Directed
101,Uganda,United Rep. of Tanzania,19415641.0,,19415641.0,19415641.0,Directed
102,Uganda,Djibouti,73557.0,,73557.0,73557.0,Directed
103,Uganda,Argentina,8652144.0,,8652144.0,8652144.0,Directed
104,Uganda,Serbia,9589.0,127133.0,68361.0,68361.0,Directed
105,Uganda,Mauritius,686623.0,38820.0,362721.5,362721.5,Directed
106,Uganda,Slovakia,885.0,365900.0,183392.5,183392.5,Directed
107,Sweden,"Other Asia, nes",69068664.0,,69068664.0,69068664.0,Directed
108,Sweden,Switzerland,69745345.0,134137252.0,101941298.5,101941298.5,Directed
109,Sweden,United States of America,444106913.0,386922744.0,415514828.5,415514828.5,Directed
110,Sweden,World,10076238647.0,,10076238647.0,10076238647.0,Directed
111,Egypt,World,4225603052.0,,4225603052.0,4225603052.0,Directed
112,Egypt,"Other Europe, nes",12058673.0,,12058673.0,12058673.0,Directed
113,Egypt,Switzerland,88655738.0,167918484.0,128287111.0,128287111.0,Directed
114,Egypt,"Areas, nes",541989.0,,541989.0,541989.0,Directed
115,Egypt,Norway,46992821.0,9765186.0,28379003.5,28379003.5,Directed
116,Egypt,"North America and Central America, nes",7554770.0,,7554770.0,7554770.0,Directed
117,Egypt,Zambia,7767843.0,,7767843.0,7767843.0,Directed
118,Egypt,South Africa,4452239.0,1421182.0,2936710.5,2936710.5,Directed
119,Egypt,Singapore,16161054.0,15287723.0,15724388.5,15724388.5,Directed
120,Egypt,Rwanda,681.0,436499.0,218590.0,218590.0,Directed
121,Egypt,Saudi Arabia,179193927.0,,179193927.0,179193927.0,Directed
122,Egypt,Malta,135724.0,,135724.0,135724.0,Directed
123,Egypt,Libya,5915866.0,,5915866.0,5915866.0,Directed
124,Egypt,Gibraltar,131167.0,,131167.0,131167.0,Directed
125,Egypt,Iceland,57333.0,30457.0,43895.0,43895.0,Directed
126,Egypt,Ireland,15373319.0,34376806.0,24875062.5,24875062.5,Directed
127,Egypt,Eritrea,79826.0,,79826.0,79826.0,Directed
128,Egypt,Dem.Rep. of the Congo,19358510.0,,19358510.0,19358510.0,Directed
129,Egypt,Cuba,366228.0,,366228.0,366228.0,Directed
130,Egypt,Cyprus,1510856.0,508932.0,1009894.0,1009894.0,Directed
131,Egypt,Ecuador,328209.0,,328209.0,328209.0,Directed
132,Egypt,Mali,26604.0,,26604.0,26604.0,Directed
133,Egypt,Mozambique,129796.0,,129796.0,129796.0,Directed
134,Egypt,Nigeria,171613.0,,171613.0,171613.0,Directed
135,Egypt,Uzbekistan,1244707.0,,1244707.0,1244707.0,Directed
136,Egypt,Chile,3176267.0,,3176267.0,3176267.0,Directed
137,Egypt,Malawi,129946.0,,129946.0,129946.0,Directed
138,Egypt,Slovakia,9183640.0,31860974.0,20522307.0,20522307.0,Directed
139,Egypt,Ukraine,171692578.0,159189371.0,165440974.5,165440974.5,Directed
140,Egypt,Croatia,4025471.0,3160140.0,3592805.5,3592805.5,Directed
141,Egypt,Costa Rica,211113.0,,211113.0,211113.0,Directed
142,Egypt,Bolivia,77561.0,,77561.0,77561.0,Directed
143,Egypt,San Marino,3251.0,,3251.0,3251.0,Directed
144,Egypt,Sierra Leone,28764.0,,28764.0,28764.0,Directed
145,Egypt,Tunisia,7492462.0,,7492462.0,7492462.0,Directed
146,Egypt,Serbia,7530595.0,2070267.0,4800431.0,4800431.0,Directed
147,Egypt,Latvia,1414684.0,1724705.0,1569694.5,1569694.5,Directed
148,Egypt,Afghanistan,47707.0,,47707.0,47707.0,Directed
149,Egypt,Iraq,139821.0,,139821.0,139821.0,Directed
150,Egypt,"China, Hong Kong SAR",943711.0,122547020.0,61745365.5,61745365.5,Directed
151,Egypt,Canada,33060857.0,13556693.0,23308775.0,23308775.0,Directed
152,Egypt,Bosnia Herzegovina,379773.0,1168659.0,774216.0,774216.0,Directed
153,Egypt,Rep. of Moldova,1175534.0,,1175534.0,1175534.0,Directed
154,Egypt,Lithuania,536993.0,2274702.0,1405847.5,1405847.5,Directed
155,Egypt,Luxembourg,91530.0,1215515.0,653522.5,653522.5,Directed
156,Egypt,Romania,55118063.0,27265905.0,41191984.0,41191984.0,Directed
157,Egypt,Zimbabwe,316540.0,,316540.0,316540.0,Directed
